id,ori,agency,year,pop,murd,rape,robb,aggr,burg,larc,moto,viol,prop,totl
2,NY00101,albany NY,2013,97956,8,27,227,526,705,3243,142,791,4098,4889
2,NY00101,albany NY,2014,98595,8,49,236,497,681,3073,122,792,3888,4680
2,NY00101,albany NY,2015,98772,5,45,234,505,470,2637,107,791,3221,4012
2,NY00101,albany NY,2016,98617,2,58,250,537,491,2858,112,848,3466,4314
2,NY00101,albany NY,2017,98174,8,53,247,567,432,2853,109,876,3408,4284
2,NY00101,albany NY,2018,98322,12,51,209,550,432,2585,130,823,3168,3991
2,NY00101,albany NY,2019,97221,4,60,189,483,445,2315,159,736,2935,3671
2,NY00101,albany NY,2020,96318,16,60,161,631,422,1945,283,869,2671,3540
3,NM00101,albuquerque NM,1990,384736,34,203,1030,3835,9497,22130,1973,5121,33782,38903
3,NM00101,albuquerque NM,1991,393148,51,227,1307,3972,10348,22024,2470,5591,35037,40628
3,NM00101,albuquerque NM,1992,401529,42,261,1460,4372,8705,20236,2905,6168,32040,38208
3,NM00101,albuquerque NM,1993,407286,50,247,1552,4835,8199,20552,3578,6696,32560,39256
3,NM00101,albuquerque NM,1994,416917,45,266,1434,4940,7659,21087,5047,6707,33931,40638
3,NM00101,albuquerque NM,1995,419714,53,283,1623,2763,8362,23461,4995,4735,37047,41782
3,NM00101,albuquerque NM,1996,426736,70,366,1998,3824,9037,25961,6988,6267,42174,48441
3,NM00101,albuquerque NM,1997,431027,49,257,1729,3629,8543,25954,7749,5677,42377,48054
3,NM00101,albuquerque NM,1998,422417,37,215,1693,3614,8037,25709,6339,5563,40258,45821
3,NM00101,albuquerque NM,1999,420169,48,212,1667,3320,6809,24277,4693,5255,35922,41177
3,NM00101,albuquerque NM,2000,448607,33,230,1547,3317,7120,22842,4349,5136,34497,39633
3,NM00101,albuquerque NM,2001,451098,34,214,1610,3396,6585,23535,4162,5259,34461,39720
3,NM00101,albuquerque NM,2002,457488,51,285,1295,3250,5452,21371,4050,4889,30950,35839
3,NM00101,albuquerque NM,2003,468764,51,258,1080,3045,5543,19663,4088,4439,29359,33798
3,NM00101,albuquerque NM,2004,479074,41,227,1238,3206,5243,20469,3845,4720,29613,34333
3,NM00101,albuquerque NM,2005,490631,53,284,1150,3182,5744,20703,3796,4670,30303,34973
3,NM00101,albuquerque NM,2006,500955,34,283,1171,3059,6352,19890,5515,4550,31818,36368
3,NM00101,albuquerque NM,2007,513124,47,295,1439,3287,5622,18632,5039,5080,29383,34463
3,NM00101,albuquerque NM,2008,527464,38,359,1350,2960,6224,21098,4672,4718,32126,36844
3,NM00101,albuquerque NM,2009,530636,56,320,1103,2597,6376,19365,3399,4082,29238,33320
3,NM00101,albuquerque NM,2010,545852,42,330,940,2971,5465,18134,2773,4291,26493,30784
3,NM00101,albuquerque NM,2011,551961,38,258,998,2910,5985,19168,2823,4210,28109,32319
3,NM00101,albuquerque NM,2012,553684,41,272,1092,2740,6677,20298,2743,4151,29804,33955
3,NM00101,albuquerque NM,2013,558165,37,425,1046,2803,7297,20229,3005,4325,30614,34939
3,NM00101,albuquerque NM,2014,558874,30,390,1381,3121,6123,20756,3558,4934,30523,35457
3,NM00101,albuquerque NM,2015,559721,43,398,1686,3273,5996,22818,5179,5406,34082,39488
3,NM00101,albuquerque NM,2016,561560,61,365,1957,3846,6236,24582,7710,6245,38639,44884
3,NM00101,albuquerque NM,2017,561375,70,460,2930,4213,6996,26670,7684,7686,41438,49124
3,NM00101,albuquerque NM,2018,560235,69,476,1980,5118,6392,21672,6630,7655,34801,42456
3,NM00101,albuquerque NM,2019,561920,84,477,1699,5327,5821,20634,5425,7596,31978,39574
3,NM00101,albuquerque NM,2020,562065,80,429,1439,5592,5075,18131,4965,7552,28337,35889
4,PA03901,allentown PA,1990,105090,2,21,197,172,1434,4318,429,393,6202,6595
4,PA03901,allentown PA,1991,105792,7,14,164,206,1371,4436,439,391,6271,6662
4,PA03901,allentown PA,1992,106216,11,20,184,199,1227,4291,414,415,5949,6364
4,PA03901,allentown PA,1993,106899,6,40,324,343,1682,4659,448,715,6831,7546
4,PA03901,allentown PA,1994,106934,11,44,374,390,1679,4161,492,822,6394,7216
4,PA03901,allentown PA,1995,105513,7,38,414,307,1435,4174,646,776,6299,7075
4,PA03901,allentown PA,1996,105372,6,44,321,276,1513,4670,608,652,6835,7487
4,PA03901,allentown PA,1997,105056,7,41,391,241,1342,3798,703,687,5886,6573
4,PA03901,allentown PA,1998,102297,15,35,385,234,1387,3406,552,677,5389,6066
4,PA03901,allentown PA,1999,100695,11,34,350,260,1113,3225,563,660,4946,5606
4,PA03901,allentown PA,2000,106632,9,36,349,290,1195,3086,547,688,4881,5569
4,PA03901,allentown PA,2001,106685,8,38,295,269,1111,3052,456,618,4660,5278
4,PA03901,allentown PA,2002,107101,9,47,294,254,1212,3615,502,615,5410,6025
4,PA03901,allentown PA,2003,106366,12,46,359,219,1111,3851,692,641,5708,6349
4,PA03901,allentown PA,2004,106308,11,48,360,230,1389,3861,530,652,5811,6463
4,PA03901,allentown PA,2005,106933,21,39,512,285,1393,3905,473,863,5827,6690
4,PA03901,allentown PA,2006,107087,16,39,684,339,1433,4131,495,1081,6094,7175
4,PA03901,allentown PA,2007,107397,20,15,552,277,1335,3462,536,869,5379,6248
4,PA03901,allentown PA,2008,107335,16,32,497,259,1423,3738,492,805,5680,6485
4,PA03901,allentown PA,2009,107326,13,67,474,190,1414,3385,471,749,5296,6045
4,PA03901,allentown PA,2010,118032,9,55,460,196,1327,3345,417,732,5118,5850
4,PA03901,allentown PA,2011,118408,10,58,339,237,1101,3041,433,647,4594,5241
4,PA03901,allentown PA,2012,119334,15,51,374,210,1257,2987,368,653,4623,5276
4,PA03901,allentown PA,2013,119277,12,59,329,223,1263,2724,337,628,4334,4962
4,PA03901,allentown PA,2014,118710,9,63,312,224,940,2608,273,611,3834,4445
4,PA03901,allentown PA,2015,119335,9,53,259,200,670,2302,226,525,3217,3742
4,PA03901,allentown PA,2016,120615,10,51,274,213,668,2387,282,552,3355,3907
4,PA03901,allentown PA,2017,120823,16,64,269,202,634,2362,306,557,3315,3872
4,PA03901,allentown PA,2018,121743,11,46,183,169,463,2100,258,412,2830,3242
4,PA03901,allentown PA,2019,121855,7,61,170,230,521,2018,243,471,2787,3258
4,PA03901,allentown PA,2020,121818,1,16,73,75,118,641,114,165,874,1039
5,TX18801,amarillo TX,1990,157615,22,58,248,581,3262,8876,579,926,12802,13728
5,TX18801,amarillo TX,1991,160978,15,62,265,546,2354,9020,488,906,11952,12858
5,TX18801,amarillo TX,1992,163826,17,87,278,736,2722,9297,592,1134,12671,13805
5,TX18801,amarillo TX,1993,164234,10,82,208,821,2739,9351,649,1128,12808,13936
5,TX18801,amarillo TX,1994,167393,25,95,237,893,2168,9575,542,1261,12348,13609
5,TX18801,amarillo TX,1995,168142,16,67,242,1038,2419,8883,611,1380,11998,13378
5,TX18801,amarillo TX,1996,171770,11,59,334,1012,2116,9857,687,1428,12747,14175
5,TX18801,amarillo TX,1997,174562,14,62,246,915,2130,8832,777,1244,11804,13048
5,TX18801,amarillo TX,1998,173838,12,59,245,942,1963,9326,726,1265,12093,13358
5,TX18801,amarillo TX,1999,173672,10,54,234,921,1772,9832,703,1221,12370,13591
5,TX18801,amarillo TX,2000,173627,11,88,253,1073,2130,9343,821,1434,12352,13786
5,TX18801,amarillo TX,2001,177567,19,91,277,1010,2536,8756,946,1405,12294,13699
5,TX18801,amarillo TX,2002,181355,7,99,330,1033,2469,8568,961,1478,12064,13542
5,TX18801,amarillo TX,2003,179762,17,91,377,1009,2201,8514,897,1496,11674,13170
5,TX18801,amarillo TX,2004,181612,11,75,377,963,2296,8239,972,1426,11560,12986
5,TX18801,amarillo TX,2005,183765,10,87,347,1092,2549,8244,1055,1537,11910,13447
5,TX18801,amarillo TX,2006,188208,5,94,401,1119,2411,7616,1046,1622,11166,12788
5,TX18801,amarillo TX,2007,187234,19,113,431,1258,2589,7564,1251,1835,11474,13309
5,TX18801,amarillo TX,2008,187674,13,114,323,1015,2419,7148,739,1473,10354,11827
5,TX18801,amarillo TX,2009,188767,10,85,352,1119,2561,7768,710,1580,11115,12695
5,TX18801,amarillo TX,2010,190695,10,94,238,850,2594,7849,648,1200,11148,12348
5,TX18801,amarillo TX,2011,194708,10,101,235,874,2018,6755,616,1225,9464,10689
5,TX18801,amarillo TX,2012,196576,10,103,278,880,2087,6184,629,1278,8954,10232
5,TX18801,amarillo TX,2013,196577,9,217,244,824,1832,5706,697,1300,8285,9585
5,TX18801,amarillo TX,2014,197724,7,227,283,825,1845,6690,854,1353,9425,10778
5,TX18801,amarillo TX,2015,198770,9,168,272,833,1832,6709,784,1289,9352,10641
5,TX18801,amarillo TX,2016,200141,11,155,260,981,1797,6756,919,1414,9504,10918
5,TX18801,amarillo TX,2017,200993,16,177,237,1082,1684,6113,990,1518,8833,10351
5,TX18801,amarillo TX,2018,201082,12,190,305,1106,1538,6023,910,1627,8507,10134
5,TX18801,amarillo TX,2019,201036,15,157,246,1025,1439,5425,971,1447,7874,9321
5,TX18801,amarillo TX,2020,200296,15,134,241,1279,1400,4903,1066,1676,7401,9077
6,CA03001,anaheim CA,1990,266406,20,62,975,713,4217,9761,3316,1802,17380,19182
6,CA03001,anaheim CA,1991,271955,25,71,983,823,4289,10108,3112,1942,17626,19568
6,CA03001,anaheim CA,1992,276314,35,67,891,732,3961,9546,3476,1748,17098,18846
6,CA03001,anaheim CA,1993,276966,33,54,909,938,3942,9145,3607,1950,16768,18718
6,CA03001,anaheim CA,1994,278918,24,65,1133,1397,3279,8930,3429,2644,15704,18348
6,CA03001,anaheim CA,1995,283552,25,55,1011,1363,3141,8764,3019,2475,14981,17456
6,CA03001,anaheim CA,1996,286146,14,62,978,998,2698,7550,2351,2071,12674,14745
6,CA03001,anaheim CA,1997,289645,15,82,812,1037,2270,5924,1972,1964,10221,12185
6,CA03001,anaheim CA,1998,298630,18,51,550,877,2085,5208,1627,1518,8973,10491
6,CA03001,anaheim CA,1999,299477,16,63,468,1070,1640,5452,1373,1639,8518,10157
6,CA03001,anaheim CA,2000,328014,11,63,428,890,1570,5374,1552,1413,8561,9974
6,CA03001,anaheim CA,2001,334110,8,73,484,733,1798,6328,1783,1316,9956,11272
6,CA03001,anaheim CA,2002,340065,17,65,465,827,1995,6945,1869,1389,10859,12248
6,CA03001,anaheim CA,2003,336132,9,63,410,824,1971,6708,1767,1319,10489,11808
6,CA03001,anaheim CA,2004,336195,10,81,493,925,1912,6388,1949,1530,10280,11810
6,CA03001,anaheim CA,2005,335992,10,59,554,971,1929,5537,2046,1616,9591,11207
6,CA03001,anaheim CA,2006,334792,10,96,584,823,1886,5277,1654,1524,8882,10406
6,CA03001,anaheim CA,2007,335133,17,94,581,729,1827,5695,1276,1423,8839,10262
6,CA03001,anaheim CA,2008,333746,11,82,573,645,1604,5633,1094,1312,8375,9687
6,CA03001,anaheim CA,2009,335970,9,70,504,599,1457,5591,945,1184,8030,9214
6,CA03001,anaheim CA,2010,336265,7,84,492,574,1594,5869,1010,1161,8520,9681
6,CA03001,anaheim CA,2011,340218,15,103,446,715,1410,5964,1119,1281,8519,9800
6,CA03001,anaheim CA,2012,344526,15,79,440,742,1605,7025,1440,1279,10097,11376
6,CA03001,anaheim CA,2013,345320,11,79,437,600,1412,6518,1681,1130,9646,10776
6,CA03001,anaheim CA,2014,346956,14,77,418,590,1301,5620,1275,1101,8219,9320
6,CA03001,anaheim CA,2015,349471,18,128,439,685,1476,6893,1669,1271,10066,11337
6,CA03001,anaheim CA,2016,353504,7,120,390,689,1469,6764,1384,1209,9650,10859
6,CA03001,anaheim CA,2017,353400,10,113,480,648,1351,6393,1552,1253,9341,10594
6,CA03001,anaheim CA,2018,354743,7,140,407,636,1408,5921,1373,1192,8729,9921
6,CA03001,anaheim CA,2019,353915,8,139,396,575,1123,5904,1231,1120,8302,9422
6,CA03001,anaheim CA,2020,351913,16,132,412,680,1229,5897,1739,1241,8914,10155
7,TX22001,arlington TX,1990,261721,8,111,586,1143,4498,13192,2743,1876,20547,22423
7,TX22001,arlington TX,1991,267306,26,143,700,1216,4778,15076,3379,2108,23335,25443
7,TX22001,arlington TX,1992,272037,16,122,725,1169,4290,13800,2947,2056,21176,23232
7,TX22001,arlington TX,1993,281336,7,120,710,1396,3977,11514,2452,2259,18040,20299
7,TX22001,arlington TX,1994,286748,18,121,654,1627,3470,12402,2483,2443,18436,20879
7,TX22001,arlington TX,1995,292324,9,134,521,1892,3224,12306,2298,2576,17895,20471
7,TX22001,arlington TX,1996,298632,17,128,618,1687,3395,13165,2274,2478,18894,21372
7,TX22001,arlington TX,1997,303487,12,108,527,1754,3056,12569,2051,2420,17722,20142
7,TX22001,arlington TX,1998,305948,13,127,506,1202,2974,12703,1984,1859,17740,19599
7,TX22001,arlington TX,1999,310910,11,98,546,1285,3180,12556,1720,1951,17538,19489
7,TX22001,arlington TX,2000,332969,14,82,595,1452,3141,14106,2076,2157,19378,21535
7,TX22001,arlington TX,2001,340525,15,134,687,1282,3552,16345,2525,2129,22480,24609
7,TX22001,arlington TX,2002,347789,14,138,794,1242,3638,15746,2008,2202,21465,23667
7,TX22001,arlington TX,2003,355385,9,152,598,1089,3606,14656,1659,1863,19963,21826
7,TX22001,arlington TX,2004,360970,14,189,662,1017,3375,14680,1526,1893,19651,21544
7,TX22001,arlington TX,2005,365380,24,161,768,1399,3984,14609,1810,2369,20455,22824
7,TX22001,arlington TX,2006,373086,14,168,890,1632,4042,13905,1719,2728,19708,22436
7,TX22001,arlington TX,2007,372073,13,141,742,1677,4447,14990,1642,2588,21143,23731
7,TX22001,arlington TX,2008,375836,23,127,694,1404,4461,14140,1548,2262,20212,22474
7,TX22001,arlington TX,2009,379104,12,142,672,1494,4891,14186,1439,2330,20565,22895
7,TX22001,arlington TX,2010,365438,16,113,532,1258,4763,13342,1245,1925,19398,21323
7,TX22001,arlington TX,2011,373128,22,126,540,1176,4388,11757,1063,1874,17245,19119
7,TX22001,arlington TX,2012,379295,17,128,532,1225,3543,10616,950,1909,15160,17069
7,TX22001,arlington TX,2013,378765,18,94,562,1152,3181,10879,940,1837,15038,16875
7,TX22001,arlington TX,2014,382976,13,192,493,1142,2470,10086,906,1854,13488,15342
7,TX22001,arlington TX,2015,387565,8,198,529,1201,2170,10298,878,1946,13375,15321
7,TX22001,arlington TX,2016,392666,21,287,557,1303,2115,9189,1079,2188,12398,14586
7,TX22001,arlington TX,2017,397377,19,239,576,1205,1801,9546,1360,2054,12736,14790
7,TX22001,arlington TX,2018,400920,7,220,365,1259,1519,9158,1245,1855,11935,13790
7,TX22001,arlington TX,2019,402304,16,235,402,1396,1305,8738,1248,2055,11305,13360
7,TX22001,arlington TX,2020,402700,23,242,361,1514,1211,7796,1264,2142,10304,12446
8,GAAPD00,atlanta GA,1990,394017,231,552,6109,9062,15519,33020,11157,16097,60007,76104
8,GAAPD00,atlanta GA,1991,403085,205,556,6479,8967,13861,35237,11011,16309,60397,76706
8,GAAPD00,atlanta GA,1992,410876,198,511,5824,9207,13065,33903,8451,15856,55680,71536
8,GAAPD00,atlanta GA,1993,402877,203,419,6045,9541,13168,31249,9216,16281,53881,70162
8,GAAPD00,atlanta GA,1994,411204,191,362,5343,8728,12136,30888,8572,14684,51798,66482
8,GAAPD00,atlanta GA,1995,404337,184,388,5260,8859,11694,34221,8352,14744,54493,69237
8,GAAPD00,atlanta GA,1996,413123,196,332,4805,8306,10471,37104,9247,13699,57061,70760
8,GAAPD00,atlanta GA,1997,420865,150,338,4751,7563,9183,28709,7869,12830,46016,58846
8,GAAPD00,atlanta GA,1998,414262,149,348,4658,7432,9093,28513,7899,12624,45701,58325
8,GAAPD00,atlanta GA,1999,411291,143,266,4072,6690,8571,28352,7328,11226,44440,55666
8,GAAPD00,atlanta GA,2000,416474,134,241,4322,6849,9256,27278,7351,11583,44081,55664
8,GAAPD00,atlanta GA,2001,426511,143,328,4341,5956,8731,25721,6935,10807,41515,52322
8,GAAPD00,atlanta GA,2002,435494,152,251,4168,5373,8554,23706,7222,9969,39633,49602
8,GAAPD00,atlanta GA,2003,431043,148,260,3701,4360,8065,22931,7235,8490,38396,46886
8,GAAPD00,atlanta GA,2004,430066,111,250,3116,4427,6726,20703,5756,7921,33392,41313
8,GAAPD00,atlanta GA,2005,430666,90,212,2861,4039,6648,18993,5756,7213,31595,38808
8,GAAPD00,atlanta GA,2006,485804,110,157,2959,4308,7401,18952,5878,7548,32406,39954
8,GAAPD00,atlanta GA,2007,497290,129,136,3577,4221,8859,20353,7020,8075,36387,44462
8,GAAPD00,atlanta GA,2008,533016,105,120,3308,3864,9989,22499,6490,7403,39125,46528
8,GAAPD00,atlanta GA,2009,552901,80,131,2725,3419,9112,19511,5726,6359,34506,40865
8,GAAPD00,atlanta GA,2010,420003,93,80,2162,3405,8016,17741,5043,5749,30895,36644
8,GAAPD00,atlanta GA,2011,425533,88,132,2343,3518,7499,17274,5371,6097,30265,36362
8,GAAPD00,atlanta GA,2012,437041,83,103,2276,3555,6192,17212,5150,6027,28657,34684
8,GAAPD00,atlanta GA,2013,451020,83,93,2363,2965,5938,17158,4432,5516,27599,33115
8,GAAPD00,atlanta GA,2014,454363,93,137,2329,3004,5470,16498,4146,5577,26189,31766
8,GAAPD00,atlanta GA,2015,464710,94,152,1995,2944,4781,16493,4282,5203,25606,30809
8,GAAPD00,atlanta GA,2016,472579,111,119,2070,2804,4411,16400,3993,5121,24854,29975
8,GAAPD00,atlanta GA,2017,481343,79,261,1413,2730,3390,16304,3297,4504,23065,27569
8,GAAPD00,atlanta GA,2018,496106,88,222,1099,2382,3082,16701,3308,3814,23181,26995
8,GAAPD00,atlanta GA,2019,507369,70,170,773,2024,2173,11970,2375,3042,16571,19613
8,GAAPD00,atlanta GA,2020,515945,59,40,274,970,492,4317,1114,1344,5932,7276
9,CO00101,aurora CO,1990,222103,8,131,397,2616,3018,10501,1124,3191,14742,17933
9,CO00101,aurora CO,1991,227670,11,151,564,2987,3261,11374,1270,3746,16039,19785
9,CO00101,aurora CO,1992,233939,16,154,672,3194,2975,11300,1677,4064,16063,20127
9,CO00101,aurora CO,1993,246610,19,135,740,3532,2909,11512,1489,4457,16029,20486
9,CO00101,aurora CO,1994,252833,15,132,623,2876,3018,11802,1275,3661,16198,19859
9,CO00101,aurora CO,1995,256957,18,96,549,1253,2436,11173,1335,1958,14981,16939
9,CO00101,aurora CO,1996,262168,11,167,559,866,2589,10366,1398,1629,14432,16061
9,CO00101,aurora CO,1997,266967,17,0,501,917,2315,10387,2161,1658,14926,16584
9,CO00101,aurora CO,1998,262465,28,0,477,802,2324,8873,1836,1496,13093,14589
9,CO00101,aurora CO,1999,255938,11,164,455,806,2291,8684,2023,1454,13077,14531
9,CO00101,aurora CO,2000,276393,22,142,473,853,1926,9516,2613,1513,14055,15568
9,CO00101,aurora CO,2001,283876,17,178,472,927,1824,10499,2967,1611,15394,17005
9,CO00101,aurora CO,2002,289584,16,222,546,1023,2170,10520,3502,1827,16339,18166
9,CO00101,aurora CO,2003,288830,18,210,572,883,2338,10298,2658,1700,15403,17103
9,CO00101,aurora CO,2004,293655,13,171,554,979,2654,9931,2459,1739,15154,16893
9,CO00101,aurora CO,2005,295888,28,199,644,940,2474,9502,2742,1835,14808,16643
9,CO00101,aurora CO,2006,302855,18,194,600,1022,2469,8291,2039,1857,12915,14772
9,CO00101,aurora CO,2007,307621,14,167,584,896,2321,7745,1718,1685,11867,13552
9,CO00101,aurora CO,2008,316323,18,172,555,861,2220,7145,1296,1621,10759,12380
9,CO00101,aurora CO,2009,324014,19,193,553,734,2051,6812,1166,1520,10124,11644
9,CO00101,aurora CO,2010,325078,24,174,507,737,2291,6875,890,1449,10124,11573
9,CO00101,aurora CO,2011,330740,12,172,507,754,2152,6875,872,1460,9986,11446
9,CO00101,aurora CO,2012,336952,29,159,482,729,1793,7371,898,1412,10134,11546
9,CO00101,aurora CO,2013,343484,20,213,469,716,1977,7804,998,1429,10859,12288
9,CO00101,aurora CO,2014,350948,9,247,414,734,1813,7087,1063,1430,10040,11470
9,CO00101,aurora CO,2015,360237,25,327,443,836,1685,7669,1263,1661,10681,12342
9,CO00101,aurora CO,2016,366477,22,260,576,1052,1698,7977,1538,1939,11282,13221
9,CO00101,aurora CO,2017,368018,30,298,679,1211,1671,7194,2189,2239,11122,13361
9,CO00101,aurora CO,2018,372824,18,375,631,1683,1725,7191,2209,2728,11179,13907
9,CO00101,aurora CO,2019,380600,28,407,638,1695,1554,7258,2294,2799,11210,14009
9,CO00101,aurora CO,2020,385720,39,381,775,2262,1760,7390,3929,3473,13245,16718
10,TX22701,austin TX,1990,465622,46,195,1461,1539,11371,35955,3891,3326,51673,54999
10,TX22701,austin TX,1991,475558,49,222,1555,1088,11591,34417,4739,2968,51248,54216
10,TX22701,austin TX,1992,483975,37,252,1450,1069,10208,35336,4570,2850,50561,53411
10,TX22701,austin TX,1993,502018,37,222,1555,1148,8453,35647,4357,3011,49067,52078
10,TX22701,austin TX,1994,511676,37,192,1542,1421,7047,26403,3933,3249,37990,41239
10,TX22701,austin TX,1995,523691,46,242,1336,2360,7521,27434,3581,4050,39027,43077
10,TX22701,austin TX,1996,537484,40,211,1376,2135,7575,27187,3695,3821,38905,42726
10,TX22701,austin TX,1997,546223,40,244,1284,1920,7511,27485,4465,3527,39600,43127
10,TX22701,austin TX,1998,559758,32,177,1050,1626,6633,25388,3069,2899,35342,38241
10,TX22701,austin TX,1999,560389,21,185,1002,1574,6748,26526,2626,2790,36117,38907
10,TX22701,austin TX,2000,656562,32,360,1005,1682,6436,26753,2692,3098,36023,39121
10,TX22701,austin TX,2001,671462,26,212,1183,1698,7471,29442,3355,3181,40412,43593
10,TX22701,austin TX,2002,685784,25,190,1174,1748,6916,29725,3135,3203,39928,43131
10,TX22701,austin TX,2003,682319,27,209,1251,1649,7240,32259,2771,3153,42410,45563
10,TX22701,austin TX,2004,683298,26,299,1406,1853,6810,31938,2636,3588,41500,45088
10,TX22701,austin TX,2005,693019,26,308,1182,1873,7285,31835,2548,3393,41783,45176
10,TX22701,austin TX,2006,709813,20,316,1358,1961,7467,31562,2544,3658,41661,45319
10,TX22701,austin TX,2007,716817,30,317,1457,2056,8031,34461,2961,3871,45569,49440
10,TX22701,austin TX,2008,753535,23,260,1333,2306,8586,33582,2633,3935,44888,48823
10,TX22701,austin TX,2009,768970,22,249,1415,2322,8753,37054,2219,4024,48122,52146
10,TX22701,austin TX,2010,790390,38,259,1231,2256,8749,34827,2250,3790,45948,49738
10,TX22701,austin TX,2011,807022,27,208,1106,2126,7042,33069,2139,3470,42377,45847
10,TX22701,austin TX,2012,832901,31,209,978,2187,7244,33913,2315,3405,43593,46998
10,TX22701,austin TX,2013,859180,26,214,763,2117,6550,32948,2169,3123,41772,44895
10,TX22701,austin TX,2014,903924,32,564,873,2105,5733,29423,2288,3581,37539,41120
10,TX22701,austin TX,2015,938728,23,486,929,2058,5000,28068,2331,3497,35490,38987
