id,exp,stratum,site,pre.unemp,pre.age,pre.male,pre.race,pre.marr,pre.educ,pre.empl,pre.activ,pre.illeg,pre.months,pre.hours,pre.earned,trt.months,trt.hours,trt.earned,out.months,out.hours,out.earned
1788,contr,drop,20,13.466666,16-19,1,black,nev married,no cred,empl,home,16.24998474,2,17.33332825,44.77772522,8,1603.3333,2535,6,953.33325,3249.9995
2538,contr,drop,32,8.4666662,20-29,1,black,sep/div/wid,no cred,empl,unempl,0,4,50.55545044,179.8332672,5,866.66656,3466.665,,,
2622,exper,crim,45,11.2,20-29,1,black,nev married,no cred,empl,unempl,0,0,0,0,18,3033.3323,11275.33,,,
3744,contr,crim,15,8.5999994,20-29,1,black,nev married,no cred,not empl,unempl,0,0,0,0,0,0,0,0,0,0
4439,contr,crim,24,8.3666668,20-29,1,black,nev married,no cred,not empl,unempl,0,0,0,0,1,173.33331,459.33331,,,
4727,contr,crim,24,8.5,20-29,1,black,nev married,no cred,not empl,other,0,0,0,0,9,1308.6663,3065.8328,0,0,0
4756,contr,drug,48,9,40-49,0,black,sep/div/wid,dipl,not empl,,0,0,0,0,0,0,0,0,0,0
4785,contr,drug,24,11.933333,20-29,0,black,nev married,no cred,not empl,unempl,1805.552734,0,0,0,0,0,0,,,
4824,exper,crim,18,10.433333,30-39,1,black,nev married,dipl,empl,unempl,0,1,7.222219467,23.47218323,4,693.33325,1733.3333,,,
4853,exper,afdc,8,7.2666664,40-49,0,black,sep/div/wid,dipl,not empl,home,0,0,0,0,9,1473.333,3720.1667,0,0,0
4963,contr,afdc,36,10.033333,40-49,0,black,nev married,no cred,not empl,,0,0,0,0,0,0,0,0,0,0
5030,exper,drug,48,8.3666668,20-29,1,white,nev married,no cred,not empl,unempl,0,0,0,0,3,433.33328,1300,,,
5632,contr,crim,18,10.933333,30-39,1,black,sep/div/wid,dipl,empl,other,361.1105957,0,0,0,,,,,,
5661,exper,afdc,36,9.833333,20-29,0,black,nev married,no cred,not empl,home,0,0,0,0,13,1971.6661,6229.1665,,,
6123,contr,afdc,5,6.8999991,30-39,0,black,sep/div/wid,no cred,not empl,home,0,4,11.55555153,23.11109924,0,0,0,,,
6152,exper,crim,42,11.333333,16-19,1,white,nev married,dipl,not empl,other,0,0,0,0,1,43.333328,195,,,
6220,exper,drug,12,11.533333,20-29,1,white,nev married,no cred,empl,other,0,2,32.49996948,79.44439697,5,849.33325,2383.3333,4,866.66663,3640
6259,exper,drop,20,11.533333,16-19,1,hispan,nev married,no cred,empl,,3.61110878,0,0,0,13,2166.6663,6123.0005,8,1386.6665,5616
6291,exper,drug,32,8.6333332,20-29,1,black,nev married,no cred,not empl,unempl,0,0,0,0,,,,,,
6437,contr,drug,24,8.166666,20-29,1,black,nev married,no cred,empl,other,0,2,28.88882446,72.22216797,0,0,0,0,0,0
6631,exper,crim,27,11.2,20-29,1,black,nev married,dipl,not empl,unempl,0,0,0,0,4,879.66663,2487.3333,,,
6660,exper,afdc,30,10.033333,30-39,0,black,sep/div/wid,dipl,not empl,home,0,0,0,0,13,1895.833,5633.333,,,
6673,exper,afdc,6,7.6666665,20-29,0,black,sep/div/wid,no cred,empl,home,0,0,0,0,4,693.33325,1594.6666,0,0,0
6738,exper,drug,40,8.166666,20-29,0,black,nev married,dipl,empl,other,1299.999268,0,0,0,0,0,0,,,
7012,exper,drug,4,7.0999999,20-29,1,black,nev married,dipl,empl,other,0,0,0,0,15,2426.6663,7520.5,,,
7083,exper,drop,24,10.033333,16-19,1,black,nev married,no cred,empl,,361.1098633,0,0,0,14,2264.166,14559.996,0,0,0
7135,exper,crim,16,8.5999994,30-39,1,black,nev married,dipl,not empl,unempl,0,0,0,0,18,3033.3325,10252.663,0,0,0
7520,exper,crim,28,11.099999,20-29,1,hispan,nev married,no cred,empl,other,1223.261719,0,0,0,2,346.66663,910,6,1239.3333,6673.3315
7575,contr,crim,28,11.299999,20-29,1,black,nev married,dipl,not empl,unempl,0,1,15.88888359,35.93051147,0,0,0,,,
7669,contr,drop,24,9.6999998,16-19,1,hispan,nev married,no cred,empl,other,0,7,93.88868713,239.4165955,14,2134.166,6675.5,,,
7973,exper,crim,20,8.6333332,20-29,1,black,nev married,dipl,empl,,0,0,0,0,18,3033.3323,9771.6621,,,
8024,exper,crim,21,11.066667,20-29,1,white,nev married,dipl,empl,,92.08326721,0,0,0,10,1462.4998,4703.833,9,1559.9998,9749.9971
8053,exper,crim,28,11.066667,20-29,1,white,married,dipl,empl,unempl,0,0,0,0,12,2513.3333,11119.333,1,86.666656,346.6665
8723,contr,afdc,2,6.8999991,20-29,0,black,sep/div/wid,no cred,not empl,home,0,0,0,0,18,3345.333,11266.666,,,
8778,contr,afdc,2,8.5999994,20-29,0,black,sep/div/wid,no cred,empl,school,0,0,0,0,4,476.66666,595.83331,7,844.99994,866.66663
9557,exper,crim,25,8.6333332,16-19,1,hispan,nev married,no cred,empl,,0,3,43.33325195,135.7776794,1,173.33331,446.33331,,,
10122,contr,drop,32,8.166666,16-19,1,black,nev married,no cred,empl,work,0,1,8.666664124,18.41665649,0,0,0,2,259.99997,591.5
10177,exper,crim,9,8.4333334,30-39,1,hispan,nev married,no cred,not empl,work,0,1,7.583330154,17.5138855,,,,,,
10478,exper,drop,4,6.3333325,16-19,1,black,nev married,no cred,empl,other,0,6,163.0906067,470.3959961,4,528.66663,1837.3333,,,
10559,exper,crim,16,12.733333,20-29,1,black,nev married,no cred,not empl,other,0,0,0,0,9,1559.9998,4874.9985,3,433.33328,1354.1663
10601,contr,drug,8,11.299999,20-29,1,hispan,nev married,no cred,empl,other,0,0,0,0,5,714.99988,3119.9993,9,1289.1665,5083
10850,contr,drop,30,10.033333,16-19,1,black,nev married,no cred,not empl,unempl,216.6665802,0,0,0,7,788.66656,2205.6665,,,
10928,contr,afdc,30,9.4666662,40-49,0,white,sep/div/wid,no cred,not empl,home,0,0,0,0,,,,,,
11189,exper,afdc,18,8.3999996,30-39,0,hispan,sep/div/wid,no cred,not empl,home,0,0,0,0,9,515.66656,4309.5,,,
11707,contr,drop,6,8.166666,20-29,1,black,nev married,no cred,empl,home,0,4,57.77766418,210.8888092,0,0,0,,,
11820,contr,drop,8,,,0,,nev married,,,home,,,,,,,,,,
12049,contr,afdc,18,8.3999996,30-39,0,black,sep/div/wid,no cred,not empl,home,0,0,0,0,9,1949.9998,6552,,,
12764,exper,drop,16,13.366666,16-19,1,white,nev married,no cred,empl,,0,1,9.027774811,18.05554199,15,2599.9993,7362.333,1,173.33331,520
12858,exper,drug,24,12.966666,20-29,1,black,sep/div/wid,no cred,empl,work,0,12,92.44436646,296.1108398,14,2339.9995,6320.166,0,0,0
12942,contr,drop,12,8.5333328,16-19,1,black,nev married,no cred,not empl,unempl,0,0,0,0,,,,,,
13161,exper,crim,24,8.3999996,20-29,1,black,sep/div/wid,no cred,not empl,unempl,0,0,0,0,,,,,,
13271,exper,afdc,28,11.266666,20-29,0,black,sep/div/wid,dipl,empl,home,0,2,28.88882446,113.3888092,,,,,,
13556,exper,crim,12,7.8333325,20-29,1,black,nev married,no cred,not empl,unempl,32.49996948,1,14.44443989,25.27774048,3,433.33328,866.66663,0,0,0
13666,contr,crim,12,12.7,20-29,1,black,nev married,no cred,empl,other,0,0,0,0,11,1733.333,5195.665,9,779.99988,4874.9985
13734,exper,crim,6,7.2999997,20-29,1,black,nev married,no cred,empl,unempl,0,2,28.88882446,61.38882446,13,1767.9996,4614.9995,0,0,0
13747,exper,crim,4,7.2999997,20-29,1,hispan,married,dipl,empl,unempl,0,0,0,0,6,1039.9999,7617.999,0,0,0
14005,contr,crim,15,8.2333326,20-29,1,black,sep/div/wid,no cred,not empl,other,0,0,0,0,0,0,0,,,
14034,contr,drug,8,11.933333,20-29,1,black,nev married,no cred,empl,home,0,1,7.222219467,45.13885498,14,2426.666,6703.6655,,,
14050,contr,drop,18,8.3999996,16-19,1,black,nev married,no cred,empl,school,0,0,0,0,15,2587,8168.3286,,,
14254,contr,afdc,18,10,30-39,0,black,sep/div/wid,no cred,empl,unempl,0,1,6.319440842,21.66664124,0,0,0,7,1126.6665,3464.5
14335,contr,drop,36,9.5333328,16-19,1,black,nev married,no cred,empl,school,,2,10.8333292,28.70828247,7,1126.6665,3802.5,,,
14681,contr,drop,15,8.166666,16-19,1,white,nev married,no cred,empl,unempl,0,0,0,0,,,,,,
14953,exper,crim,24,7.4666662,20-29,1,black,nev married,dipl,empl,other,,0,0,0,0,0,0,0,0,0
15101,contr,afdc,12,9.6999998,20-29,0,hispan,nev married,dipl,not empl,home,0,0,0,0,12,2047.4995,5711.332,,,
15428,contr,crim,42,11.099999,20-29,0,black,sep/div/wid,no cred,empl,home,0,3,37.55549622,107.6110535,,,,,,
15538,contr,drop,24,13,16-19,1,black,nev married,no cred,empl,home,59.58325195,3,43.33325195,110.4999695,9,110.5,920.83319,0,0,0
15619,exper,crim,21,9.0666666,20-29,1,black,nev married,no cred,empl,home,0,0,0,0,9,1473.333,3904.3328,,,
15648,contr,drug,4,6.8666663,40-49,1,black,sep/div/wid,no cred,not empl,home,0,0,0,0,4,606.66663,1971.6655,,,
15693,exper,crim,6,7.333333,30-39,1,black,sep/div/wid,no cred,empl,work,0,3,9.02777195,45.13882446,18,2435.3328,8090.332,8,598,2892.5
16760,contr,drug,24,9,20-29,1,black,nev married,dipl,empl,school,0,3,43.33325195,270.8330078,0,0,0,,,
16883,exper,drop,18,8.2333326,16-19,1,black,nev married,no cred,not empl,home,0,0,0,0,7,1148.3333,3185,,,
17138,exper,afdc,12,7.2666664,30-39,0,black,nev married,no cred,not empl,home,0,0,0,0,13,2155.8328,5784.9995,8,1282.6665,4160
17374,exper,drop,18,8.4333334,16-19,1,black,nev married,no cred,not empl,unempl,0,0,0,0,6,1039.9999,3271.665,,,
17497,contr,afdc,4,7.2999997,20-29,0,black,nev married,no cred,empl,home,0,0,0,0,0,0,0,,,
17743,contr,crim,12,8.166666,20-29,1,black,nev married,no cred,empl,other,1065.276367,0,0,0,,,,,,
18399,contr,crim,20,8.6333332,20-29,1,black,nev married,no cred,empl,unempl,0,3,36.11103821,120.972168,0,0,0,,,
18616,exper,afdc,36,10.033333,20-29,0,black,nev married,no cred,not empl,home,0,0,0,0,5,758.33325,2058.3333,0,0,0
18865,exper,drug,16,13.7,30-39,1,hispan,sep/div/wid,no cred,not empl,unempl,101.1109772,0,0,0,9,1386.6665,3674.6665,,,
19194,exper,crim,8,7.5999999,20-29,1,black,nev married,no cred,empl,unempl,0,2,21.66662598,59.58328247,12,1993.3329,6294.166,0,0,0
19534,contr,afdc,12,7.5999999,30-39,0,black,sep/div/wid,no cred,not empl,home,0,0,0,0,0,0,0,0,0,0
19615,contr,crim,9,8.5999994,20-29,1,black,nev married,no cred,empl,home,0,0,0,0,0,0,0,0,0,0
19628,exper,crim,30,10.4,20-29,1,black,nev married,no cred,empl,,0,5,72.22206116,198.6109772,9,1559.9998,3899.9995,,,
19631,exper,drug,14,11.066667,20-29,1,black,nev married,no cred,not empl,unempl,0,0,0,0,9,1559.9998,5265,,,
19644,exper,drug,20,13.933333,16-19,1,hispan,nev married,no cred,not empl,unempl,0,0,0,0,12,1832.9996,5128.4995,0,0,0
19673,exper,crim,12,13.166666,20-29,1,black,married,dipl,not empl,other,0,0,0,0,,,,,,
19686,contr,drug,8,12.733333,20-29,1,black,nev married,no cred,empl,unempl,0,3,36.11103821,135.4166412,,,,,,
19929,contr,afdc,6,7.0999999,30-39,0,black,nev married,no cred,not empl,home,0,0,0,0,,,,,,
20099,contr,crim,35,9.6333332,30-39,1,white,sep/div/wid,dipl,empl,unempl,0,0,0,0,0,0,0,,,
20167,exper,afdc,14,10.299999,30-39,0,black,nev married,no cred,not empl,home,0,0,0,0,3,519.99994,1624.9995,,,
20206,contr,crim,30,10.366666,16-19,1,black,sep/div/wid,no cred,empl,unempl,0,2,18.05554199,79.44439697,,,,,,
20277,exper,drug,12,6.7999997,40-49,1,black,married,no cred,empl,unempl,0,8,115.5553284,450.6662598,16,2760.3335,5184.8335,9,1364.9998,5850
20332,contr,afdc,4,8.6999998,30-39,0,black,sep/div/wid,no cred,empl,other,0,1,7.222219467,45.31941223,14,2404.9995,6604.0005,9,1559.9998,3899.9995
20387,contr,drug,24,8.5,40-49,1,black,sep/div/wid,dipl,not empl,home,0,0,0,0,15,2708.3333,16466.666,9,1949.9998,17550
20646,exper,drug,24,13.933333,20-29,1,black,nev married,no cred,empl,unempl,0,2,28.88882446,108.333313,18,3119.9993,12328.334,9,1755,6707.9971
21179,exper,drug,16,12.966666,20-29,1,black,nev married,no cred,empl,other,2166.663574,3,36.11103821,106.52771,14,2339.9995,6447.9995,9,1559.9998,5069.9971
21962,contr,drop,2,6.9333329,20-29,0,black,nev married,no cred,not empl,unempl,0,1,7.222219467,12.63888645,0,0,0,,,
21988,contr,drop,8,,,1,,married,,,other,,,,,9,554.6665,3466.6663,8,1204.6665,4976.833
22039,exper,afdc,4,7.4333329,30-39,0,black,sep/div/wid,no cred,not empl,unempl,0,0,0,0,14,2426.666,6326.6655,9,1481.9998,4952.9971
22246,exper,drop,30,10.033333,16-19,1,hispan,sep/div/wid,no cred,empl,,0,0,0,0,7,1039.9999,2730,,,
22385,exper,drug,12,13.166666,20-29,0,black,nev married,dipl,empl,home,108.333313,3,8.666664124,32.49996948,9,2742.9995,10064.165,1,86.666656,260
22505,exper,crim,30,11,30-39,1,black,sep/div/wid,no cred,empl,,0,0,0,0,,,,,,
22547,contr,crim,18,11.133333,20-29,1,black,married,dipl,not empl,unempl,0,0,0,0,8,1906.6665,5199.9995,,,
22563,contr,drug,28,11.266666,20-29,1,hispan,nev married,no cred,not empl,work,0,12,64.99996948,,,,,,,
22592,contr,afdc,10,11,20-29,0,black,nev married,no cred,empl,unempl,0,3,33.22218323,72.22213745,0,0,0,0,0,0
22851,contr,afdc,28,9.0666666,20-29,0,black,sep/div/wid,no cred,not empl,home,0,0,0,0,0,0,0,,,
23054,contr,crim,18,8.166666,20-29,1,white,nev married,dipl,not empl,other,0,0,0,0,6,866.66663,2816.665,,,
23067,exper,afdc,15,9.8666668,30-39,0,black,sep/div/wid,dipl,empl,,0,3,27.08328247,21.66662598,12,2079.9995,6226.9966,0,0,0
23591,contr,crim,14,10.933333,20-29,1,black,married,no cred,empl,unempl,0,8,108.3330994,253.8609009,6,1039.9999,6499.998,4,606.66663,4333.332
24040,contr,drug,16,8.4666662,20-29,1,black,nev married,no cred,empl,unempl,180.5554962,0,0,0,,,,,,
24095,exper,drug,8,7.3999996,20-29,1,black,nev married,no cred,not empl,other,0,1,14.44443989,30.69441223,13,2166.6663,6500,9,0,6435
24480,contr,drop,20,13.166666,16-19,1,white,nev married,no cred,not empl,home,32.49996948,0,0,0,,,,,,
24639,contr,drug,24,8.166666,20-29,1,black,married,no cred,empl,other,180.555481,2,21.66662598,54.16662598,8,1299.9998,3249.9995,0,0,0
24655,contr,crim,16,8.6333332,20-29,1,black,nev married,no cred,not empl,other,0,0,0,0,0,0,0,4,693.33325,2288
24668,contr,drug,40,8.5999994,20-29,0,black,nev married,no cred,not empl,unempl,0,12,8.666654587,86.66644287,5,682.49988,1716,,,
24697,contr,drop,6,8.1999998,20-29,0,hispan,nev married,no cred,not empl,home,0,0,0,0,0,0,0,,,
24765,contr,afdc,4,6.833333,20-29,0,black,sep/div/wid,no cred,not empl,unempl,0,0,0,0,15,2599.9993,8137.9976,,,
24778,exper,crim,16,,,1,,nev married,,,home,,,,,3,277.33328,704.16663,7,1039.9999,3276
25201,contr,crim,6,8.7999992,20-29,1,black,nev married,no cred,not empl,unempl,0,0,0,0,0,0,0,,,
25227,exper,drop,24,11.533333,16-19,0,black,nev married,no cred,empl,,0,0,0,0,13,1939.1663,3535.9998,1,86.666656,238.33333
25311,exper,crim,9,8.5999994,30-39,1,hispan,sep/div/wid,no cred,empl,unempl,0,0,0,0,9,1559.9998,4133.9995,9,1559.9998,7020
25324,contr,crim,15,10.4,40-49,1,black,married,no cred,empl,other,0,0,0,0,16,2686.6658,9152,9,1559.9998,6239.9971
25337,exper,drug,28,11.333333,20-29,1,black,nev married,dipl,not empl,unempl,0,0,0,0,13,2166.6663,7431.6641,0,0,0
25366,exper,drop,6,7.4333329,16-19,1,white,nev married,no cred,empl,home,0,3,28.16659546,59.22216797,17,2946.6658,9997,9,1559.9998,6824.9971
25382,contr,crim,8,13,20-29,1,hispan,nev married,no cred,empl,unempl,144.4443359,2,28.88882446,57.77772522,10,1733.333,5490.3315,9,1559.9998,4874.9985
25418,contr,drug,8,11.533333,20-29,1,hispan,nev married,dipl,empl,unempl,0,3,43.33325195,187.4165955,9,1473.333,5156.6655,9,1559.9998,6435
25463,contr,drug,24,11.299999,20-29,1,white,nev married,no cred,not empl,home,0,0,0,0,,,,,,
25528,exper,afdc,24,10.033333,20-29,0,black,nev married,no cred,not empl,school,0,0,0,0,11,1549.1664,4614.9995,,,
25874,exper,crim,18,11.266666,20-29,1,black,nev married,no cred,not empl,unempl,0,0,0,0,3,260,920.83325,,,
25939,contr,crim,16,8.5999994,20-29,1,black,nev married,no cred,empl,home,0,0,0,0,9,1559.9998,4419.9985,1,86.666656,205.83333
25955,contr,crim,40,8.5333328,30-39,1,black,sep/div/wid,dipl,empl,other,0,0,0,0,0,0,0,8,832,4576
26284,exper,crim,16,8.5,30-39,1,black,nev married,no cred,not empl,other,0,0,0,0,,,,0,0,0
26475,exper,drop,24,10.033333,16-19,1,white,nev married,no cred,not empl,,0,1,7.222219467,,17,2296.6663,6482.667,,,
26611,contr,afdc,6,8.166666,30-39,0,black,nev married,dipl,not empl,home,0,0,0,0,0,0,0,,,
26624,exper,afdc,6,8.1999998,40-49,0,hispan,sep/div/wid,no cred,not empl,home,0,0,0,0,7,1213.3333,3549,,,
26637,contr,afdc,10,7.7666659,20-29,0,black,nev married,no cred,empl,home,0,0,0,0,4,519.99994,1299.9999,0,0,0
26705,contr,drop,15,8.166666,16-19,1,black,nev married,no cred,empl,home,0,4,75.83331299,113.7499695,7,1083.3333,43354.992,,,
26721,exper,drug,48,8.4666662,16-19,1,black,nev married,no cred,empl,home,144.4440918,1,7.222219467,14.44444275,6,1039.9999,1897.9998,0,0,0
26789,exper,afdc,28,9.0666666,20-29,0,black,nev married,dipl,empl,home,0,2,28.88882446,64.99996948,12,2079.9995,14820,,,
26792,contr,afdc,18,8.1999998,20-29,0,black,nev married,no cred,not empl,home,0,0,0,0,,,,5,194.99991,585
26873,contr,crim,20,8.7333326,20-29,1,black,nev married,no cred,empl,other,794.442627,0,0,0,,,,,,
27416,contr,crim,6,8.1999998,20-29,1,hispan,nev married,no cred,empl,unempl,0,0,0,0,3,519.99994,1274,,,
28075,contr,crim,14,10.566667,20-29,1,black,nev married,no cred,not empl,unempl,0,0,0,0,5,866.66656,2946.665,,,
28224,contr,crim,8,7.7666659,20-29,1,white,nev married,dipl,not empl,unempl,0,0,0,0,,,,,,
28444,contr,crim,27,11.133333,20-29,1,white,nev married,dipl,not empl,other,631.9433594,0,0,0,18,3988.8328,19196.66,4,606.66663,2287.9995
28538,contr,crim,28,9.0666666,20-29,1,black,nev married,no cred,not empl,unempl,36.11108398,0,0,0,0,0,0,,,
28554,exper,crim,28,9.499999,20-29,1,black,nev married,no cred,empl,unempl,43.33322144,0,0,0,18,2651.9995,9301.4971,,,
29032,contr,afdc,20,9.8666668,30-39,0,black,nev married,dipl,not empl,home,0,0,0,0,7,1126.6665,3730.9985,9,1559.9998,5382
29320,exper,crim,10,7.7666659,20-29,1,black,nev married,dipl,empl,unempl,4008.332031,0,0,0,2,259.99997,650,0,0,0
29362,contr,crim,25,8.6999998,20-29,1,black,married,no cred,empl,unempl,0,0,0,0,,,,,,
29854,exper,afdc,10,6.8666663,30-39,0,black,nev married,dipl,not empl,home,0,0,0,0,9,1386.6665,4160,,,
29935,exper,drop,48,8.5,16-19,1,black,nev married,no cred,empl,unempl,0,1,20.22221375,50.55551147,7,909.99994,2729.9995,2,173.33331,832
29993,contr,drop,48,8.6333332,16-19,1,black,nev married,no cred,empl,other,75.83325195,5,72.22206116,162.499939,4,693.33325,1625,1,52,693.33301
30348,exper,drop,18,8.1999998,16-19,1,hispan,sep/div/wid,no cred,empl,other,0,3,43.33325195,135.4165955,16,2773.3325,9234.333,,,
30500,exper,crim,25,8.7333326,20-29,1,black,married,no cred,empl,,0,2,14.44443989,54.16664124,11,1819.9995,6181.4985,,,
30610,exper,crim,20,11.533333,16-19,1,black,nev married,no cred,not empl,unempl,0,0,0,0,,,,,,
30788,contr,drop,15,7.4999995,16-19,1,hispan,nev married,no cred,empl,work,0,7,88.47206116,252.7774811,7,1365,6066.6655,,,
31282,exper,drop,12,8.166666,16-19,1,hispan,sep/div/wid,no cred,empl,home,0,3,43.33325195,129.9999695,0,0,0,,,
31541,exper,afdc,30,8.9666662,20-29,0,black,nev married,no cred,not empl,,0,0,0,0,12,1819.9996,4686.4995,,,
31703,exper,drug,24,8.4666662,30-39,1,white,sep/div/wid,no cred,empl,other,0,1,8.666664124,32.86108398,,,,,,
31868,contr,afdc,6,5.6666665,20-29,0,black,sep/div/wid,no cred,empl,unempl,0,6,86.66647339,249.1663971,5,138.66663,260,,,
32249,contr,drop,32,9,16-19,1,black,nev married,dipl,not empl,,0,0,0,0,,,,,,
32456,exper,afdc,4,7.3999996,30-39,0,black,sep/div/wid,dipl,not empl,unempl,0,0,0,0,1,86.666656,216.66666,0,0,0
32511,contr,drug,14,9.666666,40-49,1,hispan,married,no cred,empl,unempl,0,4,44.23599243,253.6803284,1,17.333328,52,,,
32595,contr,crim,4,,,1,black,,dipl,,,0,0,0,0,13,1666.1665,7643.998,,,
32605,contr,drug,16,12.7,20-29,0,black,sep/div/wid,no cred,not empl,home,0,0,0,0,,,,,,
32621,contr,crim,10,8.333333,20-29,1,black,nev married,dipl,not empl,unempl,0,0,0,0,7,1039.9999,3276,,,
32731,contr,crim,42,10.433333,20-29,1,hispan,sep/div/wid,no cred,empl,unempl,0,0,0,0,2,173.33331,693.33301,,,
32838,exper,drug,12,11.299999,20-29,0,black,nev married,no cred,empl,,0,3,43.33325195,135.4165955,12,1993.3328,5631.1665,0,0,0
32922,exper,crim,16,12.066667,20-29,1,black,nev married,dipl,empl,,0,1,14.44443989,38.27774048,,,,9,1559.9998,4983.3311
32948,contr,drop,18,8.1999998,16-19,1,hispan,nev married,no cred,empl,work,0,7,37.55549622,80.1665802,17,2816.6665,9100,,,
32993,exper,crim,18,8.2333326,20-29,1,black,nev married,no cred,not empl,other,0,0,0,0,,,,,,
33044,contr,crim,16,8.5999994,20-29,1,black,married,no cred,empl,unempl,25.27774048,0,0,0,0,0,0,2,225.33331,736.6665
33280,exper,crim,21,10.433333,20-29,1,black,nev married,no cred,empl,unempl,0,0,0,0,0,0,0,,,
33439,contr,afdc,21,10.566667,40-49,0,hispan,sep/div/wid,no cred,empl,home,0,1,14.44443989,30.69441223,0,0,0,,,
33468,exper,drug,6,6.4000001,40-49,0,black,nev married,no cred,not empl,other,0,0,0,0,8,1213.3331,3033.333,,,
33756,contr,crim,18,8.5333328,30-39,1,black,sep/div/wid,no cred,empl,unempl,0,0,0,0,9,1559.9998,5850,9,1559.9998,7799.9985
33824,contr,drop,16,13.466666,16-19,1,hispan,nev married,no cred,empl,work,794.442627,4,15.16666508,56.87496948,12,1594.6664,4203.3335,9,1559.9998,5069.9971
33905,exper,drug,20,12.7,16-19,1,hispan,nev married,no cred,not empl,unempl,0,0,0,0,12,2079.9995,5707.0005,2,259.99997,689
33921,contr,crim,15,8.333333,30-39,1,black,sep/div/wid,dipl,not empl,other,866.6645508,2,10.83333206,54.16664124,0,0,0,,,
34302,contr,drug,32,8.6333332,30-39,1,black,sep/div/wid,no cred,empl,school,0,5,64.99983215,209.4441223,,,,,,
34425,contr,afdc,6,8.1999998,40-49,0,black,nev married,no cred,not empl,home,0,0,0,0,0,0,0,0,0,0
34632,contr,drug,14,9.6333332,30-39,1,black,married,no cred,empl,other,541.6650391,1,15.16666126,155.2777252,,,,,,
34807,exper,drug,16,8.5999994,20-29,1,black,nev married,no cred,empl,work,0,2,20.58331299,44.41662598,7,1039.9999,1928.3333,6,1191.6665,6391.665
34962,exper,crim,10,7.5333333,20-29,1,black,sep/div/wid,dipl,not empl,unempl,0,0,0,0,11,1906.6663,5720,0,0,0
35026,exper,crim,12,7.4999995,20-29,1,black,nev married,no cred,empl,unempl,0,7,93.88868713,305.1384277,8,1386.6665,3813.3335,,,
35107,exper,drop,32,8.666666,16-19,1,black,nev married,no cred,not empl,,0,0,0,0,6,953.33319,2036.6666,0,0,0
35408,contr,drug,28,9.666666,20-29,1,hispan,nev married,dipl,empl,other,938.8876953,3,31.59718323,54.16664124,3,259.99997,975,,,
35754,exper,afdc,8,5.2499995,30-39,0,black,sep/div/wid,no cred,not empl,home,0,0,0,0,11,1906.6663,6200.9995,,,
